"library","url","requirements_txt","import_base"
"AI Fairness 360","https://github.com/Trusted-AI/AIF360","aif360","aif360"
"Fairlearn","https://github.com/fairlearn/fairlearn","fairlearn","fairlearn"
"BlackBoxAuditing","https://github.com/algofairness/BlackBoxAuditing","BlackBoxAuditing","BlackBoxAuditing"
"Aequitas","https://github.com/dssg/aequitas","aequitas","aequitas"
"Fairness Indicators","https://github.com/tensorflow/fairness-indicators","fairness-indicators","fairness_indicators"
"FairML","https://github.com/adebayoj/fairml","fairml","fairml"
"Fairness Comparison","https://github.com/algofairness/fairness-comparison","fairness","fairness"
"Themis ML","https://github.com/cosmicBboy/themis-ml","themis-ml","themis_ml"
"EthicML","https://github.com/predictive-analytics-lab/EthicML","ethicml","ethicml"
"GerryFair","https://github.com/algowatchpenn/GerryFair","NA","gerryfair"
"Transparent AI","https://github.com/Nathanlauga/transparentai","transparentai","transparentai"
